Project Name,Package Name,Class Name,Class Type,Class Visibilty,Is Abstract,Is Static,Is Final,Is Interface,Extends,Implements,Children,Fields,Methods,Overrides,Static Methods,final Methods , Abstract Methods
PMD,net.sourceforge.pmd,AbstractRule,1,1,1,0,0,false,JavaParserVisitorAdapter ,Rule ,0 ,name: String properties: Properties message: String description: String example: String m_include: boolean m_priority: int ,getDescription{ Params :  Returns : String} setDescription{ Params : String Returns : void} getExample{ Params :  Returns : String} setExample{ Params : String Returns : void} hasProperty{ Params : String Returns : boolean} addProperty{ Params : String,String Returns : void} getDoubleProperty{ Params : String Returns : double} getIntProperty{ Params : String Returns : int} getBooleanProperty{ Params : String Returns : boolean} getStringProperty{ Params : String Returns : String} getName{ Params :  Returns : String} setName{ Params : String Returns : void} getMessage{ Params :  Returns : String} setMessage{ Params : String Returns : void} equals{ Params : Object Returns : boolean} hashCode{ Params :  Returns : int} visitAll{ Params : List,RuleContext Returns : void} apply{ Params : List,RuleContext Returns : void} createRuleViolation{ Params : RuleContext,int Returns : RuleViolation} createRuleViolation{ Params : RuleContext,int,String Returns : RuleViolation} getProperties{ Params :  Returns : Properties} include{ Params :  Returns : boolean} setInclude{ Params : boolean Returns : void} getPriority{ Params :  Returns : int} getPriorityName{ Params :  Returns : String} setPriority{ Params : int Returns : void} ,,,,
PMD,net.sourceforge.pmd.ant,Formatter,1,1,0,0,0,false,0 ,0 ,0 ,renderer: Renderer toFile: File ,setType{ Params : String Returns : void} setToFile{ Params : File Returns : void} getRenderer{ Params :  Returns : Renderer} isToFileNull{ Params :  Returns : boolean} getToFileWriter{ Params : String Returns : Writer} toString{ Params :  Returns : String} ,,,,
PMD,net.sourceforge.pmd.ant,PMDTask,1,1,0,0,0,false,Task ,0 ,0 ,classpath: Path formatters: List filesets: List shortFilenames: boolean printToConsole: boolean ruleSetFiles: String encoding: String failOnError: boolean failOnRuleViolation: boolean targetJDK13: boolean failuresPropertyName: String EOL: String ,setShortFilenames{ Params : boolean Returns : void} setTargetJDK13{ Params : boolean Returns : void} setFailOnError{ Params : boolean Returns : void} setFailOnRuleViolation{ Params : boolean Returns : void} setPrintToConsole{ Params : boolean Returns : void} setRuleSetFiles{ Params : String Returns : void} setEncoding{ Params : String Returns : void} setFailuresPropertyName{ Params : String Returns : void} addFileset{ Params : FileSet Returns : void} addFormatter{ Params : Formatter Returns : void} setClasspath{ Params : Path Returns : void} getClasspath{ Params :  Returns : Path} createClasspath{ Params :  Returns : Path} setClasspathRef{ Params : Reference Returns : void} execute{ Params :  Returns : void} logRulesUsed{ Params : RuleSet Returns : void} validate{ Params :  Returns : void} createLongClasspath{ Params :  Returns : Path} ,,,,
PMD,net.sourceforge.pmd.ast,AccessFlags,2,1,0,0,0,true,Task ,0 ,0 ,ACC_PUBLIC: short ACC_PRIVATE: short ACC_PROTECTED: short ACC_STATIC: short ACC_FINAL: short ACC_SYNCHRONIZED: short ACC_VOLATILE: short ACC_TRANSIENT: short ACC_NATIVE: short ACC_INTERFACE: short ACC_ABSTRACT: short ACC_STRICT: short ACC_SUPER: short ,,,,,
PMD,net.sourceforge.pmd.ast,AccessNode,1,1,0,0,0,false,SimpleNode ,AccessFlags ,0 ,accessFlags: short ,setPublic{ Params :  Returns : void} isPublic{ Params :  Returns : boolean} setPrivate{ Params :  Returns : void} isPrivate{ Params :  Returns : boolean} setProtected{ Params :  Returns : void} isProtected{ Params :  Returns : boolean} setStatic{ Params :  Returns : void} isStatic{ Params :  Returns : boolean} setFinal{ Params :  Returns : void} isFinal{ Params :  Returns : boolean} setSynchronized{ Params :  Returns : void} isSynchronized{ Params :  Returns : boolean} setVolatile{ Params :  Returns : void} isVolatile{ Params :  Returns : boolean} setTransient{ Params :  Returns : void} isTransient{ Params :  Returns : boolean} setNative{ Params :  Returns : void} isNative{ Params :  Returns : boolean} setInterface{ Params :  Returns : void} isInterface{ Params :  Returns : boolean} setAbstract{ Params :  Returns : void} isAbstract{ Params :  Returns : boolean} setStrict{ Params :  Returns : void} isStrict{ Params :  Returns : boolean} setSuper{ Params :  Returns : void} isSuper{ Params :  Returns : boolean} isPackagePrivate{ Params :  Returns : boolean} collectDumpedModifiers{ Params : String Returns : String} ,,,,
PMD,net.sourceforge.pmd.ast,ASTConditionalAndExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTConditionalExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTConditionalOrExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTConstructorDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,getParameterCount{ Params :  Returns : int} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTContinueStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTDoStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTEmptyStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTEnumDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTEnumElement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTEqualityExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTExclusiveOrExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTExplicitConstructorInvocation,1,1,0,0,0,false,SimpleNode ,0 ,0 ,thisOrSuper: String ,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} getArgumentCount{ Params :  Returns : int} setIsThis{ Params :  Returns : void} setIsSuper{ Params :  Returns : void} isThis{ Params :  Returns : boolean} isSuper{ Params :  Returns : boolean} ,,,,
PMD,net.sourceforge.pmd.ast,ASTExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTFieldDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTForInit,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTFormalParameter,1,1,0,0,0,false,AccessNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTFormalParameters,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,getParameterCount{ Params :  Returns : int} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTForStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTForUpdate,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTIfStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,hasElse: boolean ,setHasElse{ Params :  Returns : void} hasElse{ Params :  Returns : boolean} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTImportDeclaration,1,1,0,0,0,false,SimpleNode ,0 ,0 ,isImportOnDemand: boolean ,setImportOnDemand{ Params :  Returns : void} isImportOnDemand{ Params :  Returns : boolean} getImportedNameNode{ Params :  Returns : ASTName} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTInclusiveOrExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTInitializer,1,1,0,0,0,false,SimpleNode ,0 ,0 ,isStatic: boolean ,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} isStatic{ Params :  Returns : boolean} setStatic{ Params :  Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTInstanceOfExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTInterfaceDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,getUnmodifedInterfaceDeclaration{ Params :  Returns : ASTUnmodifiedInterfaceDeclaration} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTInterfaceMemberDeclaration,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTLabeledStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTLiteral,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTLocalVariableDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTMethodDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTMethodDeclarationLookahead,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTMethodDeclarator,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,getParameterCount{ Params :  Returns : int} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTMultiplicativeExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTName,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTNameList,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTNestedClassDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTNestedInterfaceDeclaration,1,1,0,0,0,false,AccessNode ,0 ,0 ,,getUnmodifedInterfaceDeclaration{ Params :  Returns : ASTUnmodifiedInterfaceDeclaration} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTNullLiteral,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPackageDeclaration,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPostfixExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPreDecrementExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPreIncrementExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPrimaryExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPrimaryPrefix,1,1,0,0,0,false,SimpleNode ,0 ,0 ,usesThisModifier: boolean usesSuperModifier: boolean ,setUsesThisModifier{ Params :  Returns : void} usesThisModifier{ Params :  Returns : boolean} setUsesSuperModifier{ Params :  Returns : void} usesSuperModifier{ Params :  Returns : boolean} dump{ Params : String Returns : void} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPrimarySuffix,1,1,0,0,0,false,SimpleNode ,0 ,0 ,isArguments: boolean ,setIsArguments{ Params :  Returns : void} isArguments{ Params :  Returns : boolean} dump{ Params : String Returns : void} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTPrimitiveType,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTRelationalExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTResultType,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,isVoid{ Params :  Returns : boolean} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTReturnStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTShiftExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTStatementExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTStatementExpressionList,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTSwitchLabel,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTSwitchStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTSynchronizedStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTThrowStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTTryStatement,1,1,0,0,0,false,SimpleNode ,0 ,0 ,hasCatch: boolean hasFinally: boolean ,setHasCatch{ Params :  Returns : void} setHasFinally{ Params :  Returns : void} hasCatch{ Params :  Returns : boolean} hasFinally{ Params :  Returns : boolean} getFinallyBlock{ Params :  Returns : ASTBlock} getCatchBlocks{ Params :  Returns : List} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTType,1,1,0,0,0,false,SimpleNode ,0 ,0 ,isArray: boolean dimensions: int ,isArray{ Params :  Returns : boolean} setIsArray{ Params :  Returns : void} addDimension{ Params :  Returns : void} getDimensions{ Params :  Returns : int} jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTTypeDeclaration,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTUnaryExpression,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTUnaryExpressionNotPlusMinus,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTUnmodifiedClassDeclaration,1,1,0,0,0,false,SimpleNode ,0 ,0 ,hasExplicitExtends: boolean hasExplicitImplements: boolean ,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} setHasExplicitExtends{ Params :  Returns : void} hasExplicitExtends{ Params :  Returns : boolean} setHasExplicitImplements{ Params :  Returns : void} hasExplicitImplements{ Params :  Returns : boolean} dump{ Params : String Returns : void} ,,,,
PMD,net.sourceforge.pmd.ast,ASTUnmodifiedInterfaceDeclaration,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTVariableDeclarator,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
PMD,net.sourceforge.pmd.ast,ASTVariableDeclaratorId,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} isExceptionBlockParameter{ Params :  Returns : boolean} getTypeNameNode{ Params :  Returns : SimpleNode} getTypeNode{ Params :  Returns : ASTType} dump{ Params : String Returns : void} findTypeNameNode{ Params : Node Returns : SimpleNode} ,,,,
PMD,net.sourceforge.pmd.ast,ASTVariableInitializer,1,1,0,0,0,false,SimpleNode ,0 ,0 ,,jjtAccept{ Params : JavaParserVisitor,Object Returns : Object} ,,,,
